code,official_name,address,type,site_code,aliases,is_active,note
E1,EAGLE 1,"300 NEXUS DR, DALTON, GA 30721",PLANT,E1,EG1|EAGLE1,YES,
E2F,EAGLE 2 FRONT,"310 NEXUS DR, DALTON, GA 30721 (FRONT)",PLANT,E2,EG2F|EAGLE2 FRONT,YES,
E2R,EAGLE 2 REAR,"310 NEXUS DR, DALTON, GA 30721 (REAR)",PLANT,E2,EG2R|EAGLE2 REAR,YES,
SDS,SDS WH,"128 INNOVATION DR, DALTON, GA 30721",WAREHOUSE,SDS,,YES,truck repo
3551,SDS DALTON,"3551 CORPORATE DR, DALTON, GA 30721",WAREHOUSE,3551,,YES,사외창고 offsite warehouse
200F,ADV SDS FRONT,"200 MOMENI LANE SE, ADAIRSVILLE, GA 30103 (FRONT)",WAREHOUSE,200,200|200 FRONT|ADV,YES,truck repo; bare 200 means front
200R,ADV SDS REAR,"200 MOMENI LANE SE, ADAIRSVILLE, GA 30103 (REAR)",WAREHOUSE,200,200 REAR,YES,
7634,EPC PACTRA,"7634 GA-140, ADAIRSVILLE, GA 30103",WAREHOUSE,7634,,YES,
210,,,,210,BRICKYARD,YES,official name and address still needed
1380,CTV FNS,"1380 CASSVILLE WHITE RD NE, WHITE, GA 30184",WAREHOUSE,1380,,YES,물건 싣는곳 loading
300,ADV FNS,"300 INTERNATIONAL PKWY, ADAIRSVILLE, GA 30103",WAREHOUSE,300,,YES,물건을 내리는곳 unloading
100,CTV MTL,"100 QCELLS PKWY, WHITE, GA 30184",WAREHOUSE,100,,YES,
1001,CTV ES,"1001 OLD GRASSDALE RD, CARTERSVILLE, GA 30120",WAREHOUSE,1001,,NO,not in use
1343,CTV GES,"1343 CASSVILLE WHITE RD NE, WHITE, GA 30184",WAREHOUSE,1343,,NO,not in use
E1F,EAGLE 1 FRONT,"300 NEXUS DR, DALTON, GA 30721 (FRONT)",PLANT,E1,,NO,legacy row; Eagle 1 has no front/rear
E1R,EAGLE 1 REAR,"300 NEXUS DR, DALTON, GA 30721 (REAR)",PLANT,E1,,NO,legacy row; Eagle 1 has no front/rear
